"","sample","feature","X1","X2","value","condition"
"1",1,1,FALSE,FALSE,4.05763630178596,"Neither"
"2",2,1,FALSE,FALSE,1.56347839581294,"Neither"
"3",3,1,FALSE,FALSE,3.21143728843041,"Neither"
"4",4,1,FALSE,FALSE,2.83541266058222,"Neither"
"5",5,1,FALSE,FALSE,2.86607059848082,"Neither"
"6",1,2,FALSE,FALSE,2.28624982751677,"Neither"
"7",2,2,FALSE,FALSE,2.03478319733873,"Neither"
"8",3,2,FALSE,FALSE,6.00593400888637,"Neither"
"9",4,2,FALSE,FALSE,3.73546996637323,"Neither"
"10",5,2,FALSE,FALSE,2.96087460173956,"Neither"
"11",1,3,FALSE,FALSE,3.2631851407131,"Neither"
"12",2,3,FALSE,FALSE,2.07095902415613,"Neither"
"13",3,3,FALSE,FALSE,0.920470729188732,"Neither"
"14",4,3,FALSE,FALSE,1.94969060710181,"Neither"
"15",5,3,FALSE,FALSE,1.42084793150695,"Neither"
"16",1,4,FALSE,FALSE,3.17131149608962,"Neither"
"17",2,4,FALSE,FALSE,3.298769598549,"Neither"
"18",3,4,FALSE,FALSE,1.40778391310567,"Neither"
"19",4,4,FALSE,FALSE,3.700980126693,"Neither"
"20",5,4,FALSE,FALSE,2.63012155383967,"Neither"
"21",1,5,FALSE,FALSE,1.14794529190723,"Neither"
"22",2,5,FALSE,FALSE,2.78245429371755,"Neither"
"23",3,5,FALSE,FALSE,4.407513610643,"Neither"
"24",4,5,FALSE,FALSE,4.3574439053538,"Neither"
"25",5,5,FALSE,FALSE,3.67343172719759,"Neither"
"26",1,6,FALSE,FALSE,3.08350394794116,"Neither"
"27",2,6,FALSE,FALSE,2.94183800140853,"Neither"
"28",3,6,FALSE,FALSE,0.554709538696558,"Neither"
"29",4,6,FALSE,FALSE,3.43081408102006,"Neither"
"30",5,6,FALSE,FALSE,1.94141505112174,"Neither"
"31",1,7,FALSE,FALSE,2.98513086810677,"Neither"
"32",2,7,FALSE,FALSE,4.63488430383151,"Neither"
"33",3,7,FALSE,FALSE,2.7429197071624,"Neither"
"34",4,7,FALSE,FALSE,3.79647660141601,"Neither"
"35",5,7,FALSE,FALSE,0.594474149728706,"Neither"
"36",1,8,FALSE,FALSE,2.65223245797769,"Neither"
"37",2,8,FALSE,FALSE,1.55875003048857,"Neither"
"38",3,8,FALSE,FALSE,0.702639209211775,"Neither"
"39",4,8,FALSE,FALSE,1.9894402265984,"Neither"
"40",5,8,FALSE,FALSE,2.10707456388984,"Neither"
"41",1,9,FALSE,FALSE,1.48418359460606,"Neither"
"42",2,9,FALSE,FALSE,3.05404097888152,"Neither"
"43",3,9,FALSE,FALSE,2.560336986448,"Neither"
"44",4,9,FALSE,FALSE,4.55177125732917,"Neither"
"45",5,9,FALSE,FALSE,1.73940077818376,"Neither"
